date,open,high,low,close,volume
2024-02-29,3.22,3.28,3.18,3.23,300000
2024-03-01,3.23,3.29,3.19,3.24,300000
2024-03-02,3.24,3.3,3.2,3.25,300000
2024-03-03,3.25,3.31,3.21,3.26,300000
2024-03-04,3.26,3.32,3.22,3.27,300000
2024-03-05,3.27,3.33,3.23,3.28,300000
2024-03-06,3.28,3.34,3.24,3.29,300000
2024-03-07,3.29,3.35,3.25,3.3,300000
2024-03-08,3.3,3.36,3.26,3.31,300000
2024-03-09,3.31,3.37,3.27,3.32,300000
2024-03-10,3.32,3.38,3.28,3.33,300000
2024-03-11,3.33,3.39,3.29,3.34,300000
2024-03-12,3.34,3.4,3.3,3.35,300000
2024-03-13,3.35,3.41,3.31,3.36,300000
2024-03-14,3.36,3.42,3.32,3.37,300000
2024-03-15,3.37,3.43,3.33,3.38,300000
2024-03-16,3.38,3.44,3.34,3.39,300000
2024-03-17,3.39,3.45,3.35,3.4,300000
2024-03-18,3.4,3.46,3.36,3.41,300000
2024-03-19,3.41,3.47,3.37,3.42,300000
2024-03-20,3.42,3.48,3.38,3.43,300000
2024-03-21,3.43,3.49,3.39,3.44,300000
2024-03-22,3.44,3.5,3.4,3.45,300000
2024-03-23,3.45,3.51,3.41,3.46,300000
2024-03-24,3.46,3.52,3.42,3.47,300000
2024-03-25,3.47,3.53,3.43,3.48,300000
2024-03-26,3.48,3.54,3.44,3.49,300000
2024-03-27,3.49,3.55,3.45,3.5,300000
2024-03-28,3.5,3.56,3.46,3.51,300000
2024-03-29,3.51,3.57,3.47,3.52,300000
2024-03-30,3.52,3.58,3.48,3.53,300000
2024-03-31,3.53,3.59,3.49,3.54,300000
2024-04-01,3.54,3.6,3.5,3.55,300000
2024-04-02,3.55,3.61,3.51,3.56,300000
2024-04-03,3.56,3.62,3.52,3.57,300000
2024-04-04,3.57,3.63,3.53,3.58,300000
2024-04-05,3.58,3.64,3.54,3.59,300000
2024-04-06,3.59,3.65,3.55,3.6,300000
2024-04-07,3.6,3.66,3.56,3.61,300000
2024-04-08,3.61,3.67,3.57,3.62,300000
2024-04-09,3.62,3.68,3.58,3.63,300000
2024-04-10,3.63,3.69,3.59,3.64,300000
2024-04-11,3.64,3.7,3.6,3.65,300000
2024-04-12,3.65,3.71,3.61,3.66,300000
2024-04-13,3.66,3.72,3.62,3.67,300000
2024-04-14,3.67,3.73,3.63,3.68,300000
2024-04-15,3.68,3.74,3.64,3.69,300000
2024-04-16,3.69,3.75,3.65,3.7,300000
2024-04-17,3.7,3.76,3.66,3.71,300000
2024-04-18,3.71,3.77,3.67,3.72,300000
2024-04-19,3.72,3.78,3.68,3.73,300000
2024-04-20,3.73,3.79,3.69,3.74,300000
2024-04-21,3.74,3.8,3.7,3.75,300000
2024-04-22,3.75,3.81,3.71,3.76,300000
2024-04-23,3.76,3.82,3.72,3.77,300000
2024-04-24,3.77,3.83,3.73,3.78,300000
2024-04-25,3.78,3.84,3.74,3.79,300000
2024-04-26,3.79,3.85,3.75,3.8,300000
2024-04-27,3.8,3.86,3.76,3.81,300000
2024-04-28,3.81,3.87,3.77,3.82,300000
2024-04-29,3.82,3.88,3.78,3.83,300000
2024-04-30,3.83,3.89,3.79,3.84,300000
2024-05-01,3.84,3.9,3.8,3.85,300000
2024-05-02,3.85,3.91,3.81,3.86,300000
2024-05-03,3.86,3.92,3.82,3.87,300000
2024-05-04,3.87,3.93,3.83,3.88,300000
2024-05-05,3.88,3.94,3.84,3.89,300000
2024-05-06,3.89,3.95,3.85,3.9,300000
2024-05-07,3.9,3.96,3.86,3.91,300000
2024-05-08,3.91,3.97,3.87,3.92,300000
2024-05-09,3.92,3.98,3.88,3.93,300000
2024-05-10,3.93,3.99,3.89,3.94,300000
2024-05-11,3.94,4.0,3.9,3.95,300000
2024-05-12,3.95,4.01,3.91,3.96,300000
2024-05-13,3.96,4.02,3.92,3.97,300000
2024-05-14,3.97,4.03,3.93,3.98,300000
2024-05-15,3.98,4.04,3.94,3.99,300000
2024-05-16,3.99,4.05,3.95,4.0,300000
2024-05-17,4.0,4.06,3.96,4.01,300000
2024-05-18,4.01,4.07,3.97,4.02,300000
2024-05-19,4.02,4.08,3.98,4.03,300000
2024-05-20,4.03,4.09,3.99,4.04,300000
2024-05-21,4.04,4.1,4.0,4.05,300000
2024-05-22,4.05,4.11,4.01,4.06,300000
2024-05-23,4.06,4.12,4.02,4.07,300000
2024-05-24,4.07,4.13,4.03,4.08,300000
2024-05-25,4.08,4.14,4.04,4.09,300000
2024-05-26,4.09,4.15,4.05,4.1,300000
2024-05-27,4.1,4.16,4.06,4.11,300000
2024-05-28,4.11,4.17,4.07,4.12,300000
2024-05-29,4.12,4.18,4.08,4.13,300000
2024-05-30,4.13,4.19,4.09,4.14,300000
2024-05-31,4.14,4.2,4.1,4.15,300000
2024-06-01,4.15,4.21,4.11,4.16,300000
2024-06-02,4.16,4.22,4.12,4.17,300000
2024-06-03,4.17,4.23,4.13,4.18,300000
2024-06-04,4.18,4.24,4.14,4.19,300000
2024-06-05,4.19,4.25,4.15,4.2,300000
2024-06-06,4.2,4.26,4.16,4.21,300000
2024-06-07,4.21,4.27,4.17,4.22,300000
2024-06-08,4.22,4.28,4.18,4.23,300000
2024-06-09,4.23,4.29,4.19,4.24,300000
2024-06-10,4.24,4.3,4.2,4.25,300000
2024-06-11,4.25,4.31,4.21,4.26,300000
2024-06-12,4.26,4.32,4.22,4.27,300000
2024-06-13,4.27,4.33,4.23,4.28,300000
2024-06-14,4.28,4.34,4.24,4.29,300000
2024-06-15,4.29,4.35,4.25,4.3,300000
2024-06-16,4.3,4.36,4.26,4.31,300000
2024-06-17,4.31,4.37,4.27,4.32,300000
2024-06-18,4.32,4.38,4.28,4.33,300000
2024-06-19,4.33,4.39,4.29,4.34,300000
2024-06-20,4.34,4.4,4.3,4.35,300000
2024-06-21,4.35,4.41,4.31,4.36,300000
2024-06-22,4.36,4.42,4.32,4.37,300000
2024-06-23,4.37,4.43,4.33,4.38,300000
2024-06-24,4.38,4.44,4.34,4.39,300000
2024-06-25,4.39,4.45,4.35,4.4,300000
2024-06-26,4.4,4.46,4.36,4.41,300000
2024-06-27,4.41,4.47,4.37,4.42,300000
2024-06-28,4.42,4.48,4.38,4.43,300000
2024-06-29,4.43,4.49,4.39,4.44,300000
2024-06-30,4.44,4.5,4.4,4.45,300000
2024-07-01,4.45,4.51,4.41,4.46,300000
2024-07-02,4.46,4.52,4.42,4.47,300000
2024-07-03,4.47,4.53,4.43,4.48,300000
2024-07-04,4.48,4.54,4.44,4.49,300000
2024-07-05,4.49,4.55,4.45,4.5,300000
2024-07-06,4.5,4.56,4.46,4.51,300000
2024-07-07,4.51,4.57,4.47,4.52,300000
2024-07-08,4.52,4.58,4.48,4.53,300000
2024-07-09,4.53,4.59,4.49,4.54,300000
2024-07-10,4.54,4.6,4.5,4.55,300000
2024-07-11,4.55,4.61,4.51,4.56,300000
2024-07-12,4.56,4.62,4.52,4.57,300000
2024-07-13,4.57,4.63,4.53,4.58,300000
2024-07-14,4.58,4.64,4.54,4.59,300000
2024-07-15,4.59,4.65,4.55,4.6,300000
2024-07-16,4.6,4.66,4.56,4.61,300000
2024-07-17,4.61,4.67,4.57,4.62,300000
2024-07-18,4.62,4.68,4.58,4.63,300000
2024-07-19,4.63,4.69,4.59,4.64,300000
2024-07-20,4.64,4.7,4.6,4.65,300000
2024-07-21,4.65,4.71,4.61,4.66,300000
2024-07-22,4.66,4.72,4.62,4.67,300000
2024-07-23,4.67,4.73,4.63,4.68,300000
2024-07-24,4.68,4.74,4.64,4.69,300000
2024-07-25,4.69,4.75,4.65,4.7,300000
2024-07-26,4.7,4.76,4.66,4.71,300000
2024-07-27,4.71,4.77,4.67,4.72,300000
2024-07-28,4.72,4.78,4.68,4.73,300000
2024-07-29,4.73,4.79,4.69,4.74,300000
2024-07-30,4.74,4.8,4.7,4.75,300000
2024-07-31,4.75,4.81,4.71,4.76,300000
2024-08-01,4.76,4.82,4.72,4.77,300000
2024-08-02,4.77,4.83,4.73,4.78,300000
2024-08-03,4.78,4.84,4.74,4.79,300000
2024-08-04,4.79,4.85,4.75,4.8,300000
2024-08-05,4.8,4.86,4.76,4.81,300000
2024-08-06,4.81,4.87,4.77,4.82,300000
2024-08-07,4.82,4.88,4.78,4.83,300000
2024-08-08,4.90,5.15,4.95,5.10,700000
